名称,,,硬盘大小,内存大小,CPU,每月流量,带宽,每年价格,机房1,机房2,机房3,机房4,机房5,机房6,,,,,,,
Basic VPS - Self-managed - SPECIAL 320G KVM PROMO V3 - LOS ANGELES - CN2 - HIBW2,Basic VPS - Self-managed - SPECIAL 320G KVM PROMO V3 - LOS ANGELES - CN2 - HIBW2,https://bwh81.net/aff.php?aff=20859&pid=107,320 GB RAID-10,16 GB,3x Intel Xeon,16000 GB/mo,1 Gigabit,"$1,299.99 ",US - Los Angeles DC3 CN2 ,,,,,,,,,,,,
Basic VPS - Self-managed - SPECIAL 40G KVM PROMO V5 - TOKYO CN2 GIA,Basic VPS - Self-managed - SPECIAL 40G KVM PROMO V5 - TOKYO CN2 GIA,https://bwh81.net/aff.php?aff=20859&pid=108,40 GB RAID-10,2048 MB,2x Intel Xeon,500 GB/mo,1.2 Gigabit,$899.99 ,JP - Tokyo Equinix TY8 CN2GIA ,,,,,,,,,,,,
Basic VPS - Self-managed - SPECIAL 80G KVM PROMO V5 - TOKYO CN2 GIA,Basic VPS - Self-managed - SPECIAL 80G KVM PROMO V5 - TOKYO CN2 GIA,https://bwh81.net/aff.php?aff=20859&pid=109,80 GB RAID-10,4096 MB,4x Intel Xeon,1000 GB/mo,1.2 Gigabit,"$1,559.99 ",JP - Tokyo Equinix TY8 CN2GIA ,,,,,,,,,,,,
Basic VPS - Self-managed - SPECIAL 160G KVM PROMO V5 - TOKYO CN2 GIA,Basic VPS - Self-managed - SPECIAL 160G KVM PROMO V5 - TOKYO CN2 GIA,https://bwh81.net/aff.php?aff=20859&pid=110,160 GB RAID-10,8192 MB,6x Intel Xeon,2000 GB/mo,1.2 Gigabit,"$2,999.99 ",JP - Tokyo Equinix TY8 CN2GIA ,,,,,,,,,,,,
Basic VPS - Self-managed - SPECIAL 320G KVM PROMO V5 - TOKYO CN2 GIA,Basic VPS - Self-managed - SPECIAL 320G KVM PROMO V5 - TOKYO CN2 GIA,https://bwh81.net/aff.php?aff=20859&pid=111,320 GB RAID-10,16384 MB,8x Intel Xeon,4000 GB/mo,1.2 Gigabit,"$5,899.99 ",JP - Tokyo Equinix TY8 CN2GIA ,,,,,,,,,,,,
Basic VPS - Self-managed - SPECIAL 20G KVM PROMO V5 - DUBAI - ECOMMERCE,Basic VPS - Self-managed - SPECIAL 20G KVM PROMO V5 - DUBAI - ECOMMERCE,https://bwh81.net/aff.php?aff=20859&pid=114,20 GB RAID-10,1 GB,2x Intel Xeon,500 GB/mo,1 Gigabit,$169.99 ,UAE - Dubai Equinix ,US - Los Angeles DC2 QNET ,US - Los Angeles DC3 QNET ,US - Los Angeles DC4 MCOM ,US - Los Angeles DC6 CN2GIA ,US - Los Angeles DC9 CN2GIA ,US - Fremont ,Canada - Vancouver ,US - New Jersey ,US - New York ,NL - Amsterdam ,NL - China Unicom Amsterdam ,JP - Equinix Osaka Softbank 
Basic VPS - Self-managed - SPECIAL 40G KVM PROMO V5 - DUBAI - ECOMMERCE,Basic VPS - Self-managed - SPECIAL 40G KVM PROMO V5 - DUBAI - ECOMMERCE,https://bwh81.net/aff.php?aff=20859&pid=115,40 GB RAID-10,2 GB,3x Intel Xeon,1000 GB/mo,1 Gigabit,$299.99 ,UAE - Dubai Equinix ,US - Los Angeles DC2 QNET ,US - Los Angeles DC3 QNET ,US - Los Angeles DC4 MCOM ,US - Los Angeles DC6 CN2GIA ,US - Los Angeles DC9 CN2GIA ,US - Fremont ,Canada - Vancouver ,US - New Jersey ,US - New York ,NL - Amsterdam ,NL - China Unicom Amsterdam ,JP - Equinix Osaka Softbank 
Basic VPS - Self-managed - SPECIAL 80G KVM PROMO V5 - DUBAI - ECOMMERCE,Basic VPS - Self-managed - SPECIAL 80G KVM PROMO V5 - DUBAI - ECOMMERCE,https://bwh81.net/aff.php?aff=20859&pid=116,80 GB RAID-10,4 GB,4x Intel Xeon,2000 GB/mo,1 Gigabit,$549.99 ,UAE - Dubai Equinix ,US - Los Angeles DC2 QNET ,US - Los Angeles DC3 QNET ,US - Los Angeles DC4 MCOM ,US - Los Angeles DC6 CN2GIA ,US - Los Angeles DC9 CN2GIA ,US - Fremont ,Canada - Vancouver ,US - New Jersey ,US - New York ,NL - Amsterdam ,NL - China Unicom Amsterdam ,JP - Equinix Osaka Softbank 
Basic VPS - Self-managed - SPECIAL 160G KVM PROMO V5 - DUBAI - ECOMMERCE,Basic VPS - Self-managed - SPECIAL 160G KVM PROMO V5 - DUBAI - ECOMMERCE,https://bwh81.net/aff.php?aff=20859&pid=117,160 GB RAID-10,8 GB,6x Intel Xeon,3000 GB/mo,1 Gigabit,$879.99 ,UAE - Dubai Equinix ,US - Los Angeles DC2 QNET ,US - Los Angeles DC3 QNET ,US - Los Angeles DC4 MCOM ,US - Los Angeles DC6 CN2GIA ,US - Los Angeles DC9 CN2GIA ,US - Fremont ,Canada - Vancouver ,US - New Jersey ,US - New York ,NL - Amsterdam ,NL - China Unicom Amsterdam ,JP - Equinix Osaka Softbank 
Basic VPS - Self-managed - SPECIAL 320G KVM PROMO V5 - DUBAI - ECOMMERCE,Basic VPS - Self-managed - SPECIAL 320G KVM PROMO V5 - DUBAI - ECOMMERCE,https://bwh81.net/aff.php?aff=20859&pid=118,320 GB RAID-10,16 GB,8x Intel Xeon,4000 GB/mo,1 Gigabit,"$1,599.99 ",UAE - Dubai Equinix ,US - Los Angeles DC2 QNET ,US - Los Angeles DC3 QNET ,US - Los Angeles DC4 MCOM ,US - Los Angeles DC6 CN2GIA ,US - Los Angeles DC9 CN2GIA ,US - Fremont ,Canada - Vancouver ,US - New Jersey ,US - New York ,NL - Amsterdam ,NL - China Unicom Amsterdam ,JP - Equinix Osaka Softbank 
Basic VPS - Self-managed - SPECIAL 640G KVM PROMO V5 - DUBAI - ECOMMERCE,Basic VPS - Self-managed - SPECIAL 640G KVM PROMO V5 - DUBAI - ECOMMERCE,https://bwh81.net/aff.php?aff=20859&pid=119,640 GB RAID-10,32 GB,10x Intel Xeon,5000 GB/mo,1 Gigabit,"$2,759.99 ",UAE - Dubai Equinix ,US - Los Angeles DC2 QNET ,US - Los Angeles DC3 QNET ,US - Los Angeles DC4 MCOM ,US - Los Angeles DC6 CN2GIA ,US - Los Angeles DC9 CN2GIA ,US - Fremont ,Canada - Vancouver ,US - New Jersey ,US - New York ,NL - Amsterdam ,NL - China Unicom Amsterdam ,JP - Equinix Osaka Softbank 
Basic VPS - Self-managed - SPECIAL 1280G KVM PROMO V5 - DUBAI - ECOMMERCE,Basic VPS - Self-managed - SPECIAL 1280G KVM PROMO V5 - DUBAI - ECOMMERCE,https://bwh81.net/aff.php?aff=20859&pid=120,1280 GB RAID-10,64 GB,12x Intel Xeon,6000 GB/mo,1 Gigabit,"$5,399.99 ",UAE - Dubai Equinix ,US - Los Angeles DC2 QNET ,US - Los Angeles DC3 QNET ,US - Los Angeles DC4 MCOM ,US - Los Angeles DC6 CN2GIA ,US - Los Angeles DC9 CN2GIA ,US - Fremont ,Canada - Vancouver ,US - New Jersey ,US - New York ,NL - Amsterdam ,NL - China Unicom Amsterdam ,JP - Equinix Osaka Softbank 
Basic VPS - Self-managed - SPECIAL 640G KVM PROMO V5 - HONG KONG CN2 GIA,Basic VPS - Self-managed - SPECIAL 640G KVM PROMO V5 - HONG KONG CN2 GIA,https://bwh81.net/aff.php?aff=20859&pid=122,640 GB RAID-10,32768 MB,10x Intel Xeon,6000 GB/mo,1 Gigabit,"$9,989.99 ",HK - Hong Kong CN2 GIA ,,,,,,,,,,,,
Basic VPS - Self-managed - SPECIAL 640G KVM PROMO V5 - TOKYO CN2 GIA,Basic VPS - Self-managed - SPECIAL 640G KVM PROMO V5 - TOKYO CN2 GIA,https://bwh81.net/aff.php?aff=20859&pid=123,640 GB RAID-10,32768 MB,10x Intel Xeon,6000 GB/mo,1.2 Gigabit,"$9,989.99 ",JP - Tokyo Equinix TY8 CN2GIA ,,,,,,,,,,,,
Basic VPS - Self-managed - SPECIAL 1280G KVM PROMO V5 - HONG KONG CN2 GIA,Basic VPS - Self-managed - SPECIAL 1280G KVM PROMO V5 - HONG KONG CN2 GIA,https://bwh81.net/aff.php?aff=20859&pid=124,1280 GB RAID-10,65536 MB,12x Intel Xeon,8000 GB/mo,1 Gigabit,"$18,989.99 ",HK - Hong Kong CN2 GIA ,,,,,,,,,,,,
Basic VPS - Self-managed - SPECIAL 1280G KVM PROMO V5 - TOKYO CN2 GIA,Basic VPS - Self-managed - SPECIAL 1280G KVM PROMO V5 - TOKYO CN2 GIA,https://bwh81.net/aff.php?aff=20859&pid=125,1280 GB RAID-10,65536 MB,12x Intel Xeon,8000 GB/mo,1.2 Gigabit,"$18,989.99 ",JP - Tokyo Equinix TY8 CN2GIA ,,,,,,,,,,,,
Basic VPS - Self-managed - SPECIAL 320G KVM PROMO V3 - LOS ANGELES - CN2 - HIBW3,Basic VPS - Self-managed - SPECIAL 320G KVM PROMO V3 - LOS ANGELES - CN2 - HIBW3,https://bwh81.net/aff.php?aff=20859&pid=127,320 GB RAID-10,16 GB,3x Intel Xeon,20000 GB/mo,1 Gigabit,"$1,689.99 ",US - Los Angeles DC3 CN2 ,,,,,,,,,,,,
Basic VPS - Self-managed - SPECIAL 320G KVM PROMO V3 - LOS ANGELES - CN2 - HIBW4,Basic VPS - Self-managed - SPECIAL 320G KVM PROMO V3 - LOS ANGELES - CN2 - HIBW4,https://bwh81.net/aff.php?aff=20859&pid=128,320 GB RAID-10,16 GB,3x Intel Xeon,24000 GB/mo,1 Gigabit,"$1,999.99 ",US - Los Angeles DC3 CN2 ,,,,,,,,,,,,
